[info] [2021-12-03T06:20:20.077Z] : Service start.
[warn] [2021-12-03T06:20:20.082Z] : Service start warn.
[error] [2021-12-03T06:20:20.083Z] : Service start error.
[info] [2021-12-03T06:21:41.233Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:41.737Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:42.243Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:42.754Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:43.264Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:43.768Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:44.285Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:44.803Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:45.316Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:45.820Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:46.331Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:46.846Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:47.348Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:47.854Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:48.369Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:48.883Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:49.386Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:49.898Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:50.412Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:50.914Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:51.423Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:51.938Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:52.459Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:52.967Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:53.486Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:54.000Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:54.506Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:55.020Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:55.528Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:56.041Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:56.552Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:57.059Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:57.576Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:58.086Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:58.589Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:59.106Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:21:59.624Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:22:00.140Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:22:00.655Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:22:01.166Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:22:01.668Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:22:02.180Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:22:02.683Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:22:03.201Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:22:03.704Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:22:04.219Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:22:04.723Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:22:05.239Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
[info] [2021-12-03T06:22:05.756Z] : Vehicle ch_agv_2 at null, vehicle status is 0; system intentStatus is 2
